indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,586,pakistan,pk,1,1950,0
total net number of migrants,586,pakistan,pk,2,1951,0
total net number of migrants,586,pakistan,pk,3,1952,0
total net number of migrants,586,pakistan,pk,4,1953,0
total net number of migrants,586,pakistan,pk,5,1954,0
total net number of migrants,586,pakistan,pk,6,1955,0
total net number of migrants,586,pakistan,pk,7,1956,0
total net number of migrants,586,pakistan,pk,8,1957,0
total net number of migrants,586,pakistan,pk,9,1958,0
total net number of migrants,586,pakistan,pk,10,1959,0
total net number of migrants,586,pakistan,pk,11,1960,0
total net number of migrants,586,pakistan,pk,12,1961,-133982
total net number of migrants,586,pakistan,pk,13,1962,-131607
total net number of migrants,586,pakistan,pk,14,1963,-129202
total net number of migrants,586,pakistan,pk,15,1964,-126712
total net number of migrants,586,pakistan,pk,16,1965,-124241
total net number of migrants,586,pakistan,pk,17,1966,-122151
total net number of migrants,586,pakistan,pk,18,1967,-119938
total net number of migrants,586,pakistan,pk,19,1968,-117510
total net number of migrants,586,pakistan,pk,20,1969,-114875
total net number of migrants,586,pakistan,pk,21,1970,-116631
total net number of migrants,586,pakistan,pk,22,1971,-136808
total net number of migrants,586,pakistan,pk,23,1972,-138485
total net number of migrants,586,pakistan,pk,24,1973,-116081
total net number of migrants,586,pakistan,pk,25,1974,-69596
total net number of migrants,586,pakistan,pk,26,1975,-3437
total net number of migrants,586,pakistan,pk,27,1976,47154
total net number of migrants,586,pakistan,pk,28,1977,84000
total net number of migrants,586,pakistan,pk,29,1978,110097
total net number of migrants,586,pakistan,pk,30,1979,450001
total net number of migrants,586,pakistan,pk,31,1980,1078233
total net number of migrants,586,pakistan,pk,32,1981,997103
total net number of migrants,586,pakistan,pk,33,1982,552153
total net number of migrants,586,pakistan,pk,34,1983,73873
total net number of migrants,586,pakistan,pk,35,1984,-351354
total net number of migrants,586,pakistan,pk,36,1985,282435
total net number of migrants,586,pakistan,pk,37,1986,199664
total net number of migrants,586,pakistan,pk,38,1987,326899
total net number of migrants,586,pakistan,pk,39,1988,148304
total net number of migrants,586,pakistan,pk,40,1989,68004
total net number of migrants,586,pakistan,pk,41,1990,30184
total net number of migrants,586,pakistan,pk,42,1991,-6127
total net number of migrants,586,pakistan,pk,43,1992,-1320633
total net number of migrants,586,pakistan,pk,44,1993,-278
total net number of migrants,586,pakistan,pk,45,1994,-276644
total net number of migrants,586,pakistan,pk,46,1995,296208
total net number of migrants,586,pakistan,pk,47,1996,147987
total net number of migrants,586,pakistan,pk,48,1997,151546
total net number of migrants,586,pakistan,pk,49,1998,148849
total net number of migrants,586,pakistan,pk,50,1999,148403
total net number of migrants,586,pakistan,pk,51,2000,940739
total net number of migrants,586,pakistan,pk,52,2001,344288
total net number of migrants,586,pakistan,pk,53,2002,-834546
total net number of migrants,586,pakistan,pk,54,2003,-578225
total net number of migrants,586,pakistan,pk,55,2004,-524871
total net number of migrants,586,pakistan,pk,56,2005,-632467
total net number of migrants,586,pakistan,pk,57,2006,-628923
total net number of migrants,586,pakistan,pk,58,2007,-563471
total net number of migrants,586,pakistan,pk,59,2008,-525915
total net number of migrants,586,pakistan,pk,60,2009,-338507
total net number of migrants,586,pakistan,pk,61,2010,-431891
total net number of migrants,586,pakistan,pk,62,2011,-890633
total net number of migrants,586,pakistan,pk,63,2012,-1647986
total net number of migrants,586,pakistan,pk,64,2013,-1906315
total net number of migrants,586,pakistan,pk,65,2014,-2037911
total net number of migrants,586,pakistan,pk,66,2015,-2172159
total net number of migrants,586,pakistan,pk,67,2016,-2290411
total net number of migrants,586,pakistan,pk,68,2017,-1574581
total net number of migrants,586,pakistan,pk,69,2018,-1309609
total net number of migrants,586,pakistan,pk,70,2019,-1177218
total net number of migrants,586,pakistan,pk,71,2020,-588736
total net number of migrants,586,pakistan,pk,72,2021,-471395
total net number of migrants,586,pakistan,pk,73,2022,-165988
total net number of migrants,586,pakistan,pk,74,2023,-165988
