indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,608,philippines,ph,1,1950,163408
total net number of migrants,608,philippines,ph,2,1951,178804
total net number of migrants,608,philippines,ph,3,1952,190276
total net number of migrants,608,philippines,ph,4,1953,196450
total net number of migrants,608,philippines,ph,5,1954,215100
total net number of migrants,608,philippines,ph,6,1955,225595
total net number of migrants,608,philippines,ph,7,1956,232779
total net number of migrants,608,philippines,ph,8,1957,230115
total net number of migrants,608,philippines,ph,9,1958,202981
total net number of migrants,608,philippines,ph,10,1959,199480
total net number of migrants,608,philippines,ph,11,1960,-155327
total net number of migrants,608,philippines,ph,12,1961,-221620
total net number of migrants,608,philippines,ph,13,1962,-232922
total net number of migrants,608,philippines,ph,14,1963,-239948
total net number of migrants,608,philippines,ph,15,1964,-241630
total net number of migrants,608,philippines,ph,16,1965,-242177
total net number of migrants,608,philippines,ph,17,1966,-250618
total net number of migrants,608,philippines,ph,18,1967,-236043
total net number of migrants,608,philippines,ph,19,1968,-235037
total net number of migrants,608,philippines,ph,20,1969,-250039
total net number of migrants,608,philippines,ph,21,1970,-208125
total net number of migrants,608,philippines,ph,22,1971,-226375
total net number of migrants,608,philippines,ph,23,1972,-221928
total net number of migrants,608,philippines,ph,24,1973,-220160
total net number of migrants,608,philippines,ph,25,1974,-249665
total net number of migrants,608,philippines,ph,26,1975,-191812
total net number of migrants,608,philippines,ph,27,1976,-138957
total net number of migrants,608,philippines,ph,28,1977,-89147
total net number of migrants,608,philippines,ph,29,1978,-100900
total net number of migrants,608,philippines,ph,30,1979,-124344
total net number of migrants,608,philippines,ph,31,1980,-134411
total net number of migrants,608,philippines,ph,32,1981,-151928
total net number of migrants,608,philippines,ph,33,1982,-173001
total net number of migrants,608,philippines,ph,34,1983,-175518
total net number of migrants,608,philippines,ph,35,1984,-188441
total net number of migrants,608,philippines,ph,36,1985,-185754
total net number of migrants,608,philippines,ph,37,1986,-199600
total net number of migrants,608,philippines,ph,38,1987,-219289
total net number of migrants,608,philippines,ph,39,1988,-215159
total net number of migrants,608,philippines,ph,40,1989,-209926
total net number of migrants,608,philippines,ph,41,1990,-149089
total net number of migrants,608,philippines,ph,42,1991,-198673
total net number of migrants,608,philippines,ph,43,1992,-179039
total net number of migrants,608,philippines,ph,44,1993,-169227
total net number of migrants,608,philippines,ph,45,1994,-147940
total net number of migrants,608,philippines,ph,46,1995,-143386
total net number of migrants,608,philippines,ph,47,1996,5539
total net number of migrants,608,philippines,ph,48,1997,-3109
total net number of migrants,608,philippines,ph,49,1998,-24139
total net number of migrants,608,philippines,ph,50,1999,-59467
total net number of migrants,608,philippines,ph,51,2000,-122971
total net number of migrants,608,philippines,ph,52,2001,-185071
total net number of migrants,608,philippines,ph,53,2002,-195877
total net number of migrants,608,philippines,ph,54,2003,-204925
total net number of migrants,608,philippines,ph,55,2004,-182951
total net number of migrants,608,philippines,ph,56,2005,-223074
total net number of migrants,608,philippines,ph,57,2006,-235227
total net number of migrants,608,philippines,ph,58,2007,-217909
total net number of migrants,608,philippines,ph,59,2008,-190626
total net number of migrants,608,philippines,ph,60,2009,-232359
total net number of migrants,608,philippines,ph,61,2010,-183268
total net number of migrants,608,philippines,ph,62,2011,-103875
total net number of migrants,608,philippines,ph,63,2012,-156051
total net number of migrants,608,philippines,ph,64,2013,-199869
total net number of migrants,608,philippines,ph,65,2014,-237890
total net number of migrants,608,philippines,ph,66,2015,6954
total net number of migrants,608,philippines,ph,67,2016,79051
total net number of migrants,608,philippines,ph,68,2017,36111
total net number of migrants,608,philippines,ph,69,2018,-15371
total net number of migrants,608,philippines,ph,70,2019,-24066
total net number of migrants,608,philippines,ph,71,2020,-41937
total net number of migrants,608,philippines,ph,72,2021,-80125
total net number of migrants,608,philippines,ph,73,2022,-69996
total net number of migrants,608,philippines,ph,74,2023,-69996
