indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,616,poland,pl,1,1950,-747
crude rate of net migration,616,poland,pl,2,1951,-789
crude rate of net migration,616,poland,pl,3,1952,-869
crude rate of net migration,616,poland,pl,4,1953,-993
crude rate of net migration,616,poland,pl,5,1954,-1002
crude rate of net migration,616,poland,pl,6,1955,-1039
crude rate of net migration,616,poland,pl,7,1956,-1073
crude rate of net migration,616,poland,pl,8,1957,112
crude rate of net migration,616,poland,pl,9,1958,69
crude rate of net migration,616,poland,pl,10,1959,-391
crude rate of net migration,616,poland,pl,11,1960,-697
crude rate of net migration,616,poland,pl,12,1961,-673
crude rate of net migration,616,poland,pl,13,1962,-782
crude rate of net migration,616,poland,pl,14,1963,-631
crude rate of net migration,616,poland,pl,15,1964,-646
crude rate of net migration,616,poland,pl,16,1965,-0.58
crude rate of net migration,616,poland,pl,17,1966,-502
crude rate of net migration,616,poland,pl,18,1967,-493
crude rate of net migration,616,poland,pl,19,1968,-635
crude rate of net migration,616,poland,pl,20,1969,-767
crude rate of net migration,616,poland,pl,21,1970,-2202
crude rate of net migration,616,poland,pl,22,1971,-786
crude rate of net migration,616,poland,pl,23,1972,-877
crude rate of net migration,616,poland,pl,24,1973,-843
crude rate of net migration,616,poland,pl,25,1974,-784
crude rate of net migration,616,poland,pl,26,1975,-851
crude rate of net migration,616,poland,pl,27,1976,-851
crude rate of net migration,616,poland,pl,28,1977,-787
crude rate of net migration,616,poland,pl,29,1978,-1385
crude rate of net migration,616,poland,pl,30,1979,-548
crude rate of net migration,616,poland,pl,31,1980,-0.34
crude rate of net migration,616,poland,pl,32,1981,-251
crude rate of net migration,616,poland,pl,33,1982,-567
crude rate of net migration,616,poland,pl,34,1983,-228
crude rate of net migration,616,poland,pl,35,1984,-137
crude rate of net migration,616,poland,pl,36,1985,-349
crude rate of net migration,616,poland,pl,37,1986,-561
crude rate of net migration,616,poland,pl,38,1987,-677
crude rate of net migration,616,poland,pl,39,1988,-2597
crude rate of net migration,616,poland,pl,40,1989,-959
crude rate of net migration,616,poland,pl,41,1990,-1083
crude rate of net migration,616,poland,pl,42,1991,-1174
crude rate of net migration,616,poland,pl,43,1992,-1136
crude rate of net migration,616,poland,pl,44,1993,-1008
crude rate of net migration,616,poland,pl,45,1994,-963
crude rate of net migration,616,poland,pl,46,1995,-1251
crude rate of net migration,616,poland,pl,47,1996,-1013
crude rate of net migration,616,poland,pl,48,1997,-978
crude rate of net migration,616,poland,pl,49,1998,-1021
crude rate of net migration,616,poland,pl,50,1999,-643
crude rate of net migration,616,poland,pl,51,2000,8231
crude rate of net migration,616,poland,pl,52,2001,-551
crude rate of net migration,616,poland,pl,53,2002,-552
crude rate of net migration,616,poland,pl,54,2003,-586
crude rate of net migration,616,poland,pl,55,2004,-442
crude rate of net migration,616,poland,pl,56,2005,-553
crude rate of net migration,616,poland,pl,57,2006,-1225
crude rate of net migration,616,poland,pl,58,2007,-761
crude rate of net migration,616,poland,pl,59,2008,-544
crude rate of net migration,616,poland,pl,60,2009,369
crude rate of net migration,616,poland,pl,61,2010,-229
crude rate of net migration,616,poland,pl,62,2011,-316
crude rate of net migration,616,poland,pl,63,2012,-313
crude rate of net migration,616,poland,pl,64,2013,-715
crude rate of net migration,616,poland,pl,65,2014,-628
crude rate of net migration,616,poland,pl,66,2015,-659
crude rate of net migration,616,poland,pl,67,2016,-51
crude rate of net migration,616,poland,pl,68,2017,-51
crude rate of net migration,616,poland,pl,69,2018,-227
crude rate of net migration,616,poland,pl,70,2019,-77
crude rate of net migration,616,poland,pl,71,2020,-0.02
crude rate of net migration,616,poland,pl,72,2021,-77
crude rate of net migration,616,poland,pl,73,2022,88193
crude rate of net migration,616,poland,pl,74,2023,-21946
