indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,804,ukraine,ua,1,1950,2585
crude rate of net migration,804,ukraine,ua,2,1951,2556
crude rate of net migration,804,ukraine,ua,3,1952,2519
crude rate of net migration,804,ukraine,ua,4,1953,2491
crude rate of net migration,804,ukraine,ua,5,1954,3.34
crude rate of net migration,804,ukraine,ua,6,1955,3286
crude rate of net migration,804,ukraine,ua,7,1956,3262
crude rate of net migration,804,ukraine,ua,8,1957,3171
crude rate of net migration,804,ukraine,ua,9,1958,1877
crude rate of net migration,804,ukraine,ua,10,1959,1514
crude rate of net migration,804,ukraine,ua,11,1960,1302
crude rate of net migration,804,ukraine,ua,12,1961,1575
crude rate of net migration,804,ukraine,ua,13,1962,1235
crude rate of net migration,804,ukraine,ua,14,1963,1629
crude rate of net migration,804,ukraine,ua,15,1964,2125
crude rate of net migration,804,ukraine,ua,16,1965,1426
crude rate of net migration,804,ukraine,ua,17,1966,2412
crude rate of net migration,804,ukraine,ua,18,1967,2696
crude rate of net migration,804,ukraine,ua,19,1968,2375
crude rate of net migration,804,ukraine,ua,20,1969,1637
crude rate of net migration,804,ukraine,ua,21,1970,-194
crude rate of net migration,804,ukraine,ua,22,1971,2275
crude rate of net migration,804,ukraine,ua,23,1972,2014
crude rate of net migration,804,ukraine,ua,24,1973,1115
crude rate of net migration,804,ukraine,ua,25,1974,1451
crude rate of net migration,804,ukraine,ua,26,1975,753
crude rate of net migration,804,ukraine,ua,27,1976,168
crude rate of net migration,804,ukraine,ua,28,1977,-208
crude rate of net migration,804,ukraine,ua,29,1978,-737
crude rate of net migration,804,ukraine,ua,30,1979,1034
crude rate of net migration,804,ukraine,ua,31,1980,1119
crude rate of net migration,804,ukraine,ua,32,1981,422
crude rate of net migration,804,ukraine,ua,33,1982,-1028
crude rate of net migration,804,ukraine,ua,34,1983,-242
crude rate of net migration,804,ukraine,ua,35,1984,36
crude rate of net migration,804,ukraine,ua,36,1985,-467
crude rate of net migration,804,ukraine,ua,37,1986,-651
crude rate of net migration,804,ukraine,ua,38,1987,-724
crude rate of net migration,804,ukraine,ua,39,1988,-202
crude rate of net migration,804,ukraine,ua,40,1989,441
crude rate of net migration,804,ukraine,ua,41,1990,966
crude rate of net migration,804,ukraine,ua,42,1991,2025
crude rate of net migration,804,ukraine,ua,43,1992,3955
crude rate of net migration,804,ukraine,ua,44,1993,-143
crude rate of net migration,804,ukraine,ua,45,1994,-4309
crude rate of net migration,804,ukraine,ua,46,1995,-2437
crude rate of net migration,804,ukraine,ua,47,1996,-3.21
crude rate of net migration,804,ukraine,ua,48,1997,-2257
crude rate of net migration,804,ukraine,ua,49,1998,-2466
crude rate of net migration,804,ukraine,ua,50,1999,-1598
crude rate of net migration,804,ukraine,ua,51,2000,-1589
crude rate of net migration,804,ukraine,ua,52,2001,-2256
crude rate of net migration,804,ukraine,ua,53,2002,-756
crude rate of net migration,804,ukraine,ua,54,2003,234
crude rate of net migration,804,ukraine,ua,55,2004,-244
crude rate of net migration,804,ukraine,ua,56,2005,-105
crude rate of net migration,804,ukraine,ua,57,2006,258
crude rate of net migration,804,ukraine,ua,58,2007,249
crude rate of net migration,804,ukraine,ua,59,2008,358
crude rate of net migration,804,ukraine,ua,60,2009,396
crude rate of net migration,804,ukraine,ua,61,2010,183
crude rate of net migration,804,ukraine,ua,62,2011,292
crude rate of net migration,804,ukraine,ua,63,2012,1517
crude rate of net migration,804,ukraine,ua,64,2013,752
crude rate of net migration,804,ukraine,ua,65,2014,-1454
crude rate of net migration,804,ukraine,ua,66,2015,-488
crude rate of net migration,804,ukraine,ua,67,2016,-1211
crude rate of net migration,804,ukraine,ua,68,2017,-1129
crude rate of net migration,804,ukraine,ua,69,2018,-748
crude rate of net migration,804,ukraine,ua,70,2019,-177
crude rate of net migration,804,ukraine,ua,71,2020,-49
crude rate of net migration,804,ukraine,ua,72,2021,19
crude rate of net migration,804,ukraine,ua,73,2022,-155.07
crude rate of net migration,804,ukraine,ua,74,2023,49798
