indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,862,venezuela (bolivarian republic of),ve,1,1950,11508
crude rate of net migration,862,venezuela (bolivarian republic of),ve,2,1951,9666
crude rate of net migration,862,venezuela (bolivarian republic of),ve,3,1952,7997
crude rate of net migration,862,venezuela (bolivarian republic of),ve,4,1953,6512
crude rate of net migration,862,venezuela (bolivarian republic of),ve,5,1954,5.21
crude rate of net migration,862,venezuela (bolivarian republic of),ve,6,1955,4096
crude rate of net migration,862,venezuela (bolivarian republic of),ve,7,1956,3175
crude rate of net migration,862,venezuela (bolivarian republic of),ve,8,1957,2442
crude rate of net migration,862,venezuela (bolivarian republic of),ve,9,1958,1888
crude rate of net migration,862,venezuela (bolivarian republic of),ve,10,1959,1419
crude rate of net migration,862,venezuela (bolivarian republic of),ve,11,1960,1026
crude rate of net migration,862,venezuela (bolivarian republic of),ve,12,1961,718
crude rate of net migration,862,venezuela (bolivarian republic of),ve,13,1962,0.5
crude rate of net migration,862,venezuela (bolivarian republic of),ve,14,1963,363
crude rate of net migration,862,venezuela (bolivarian republic of),ve,15,1964,257
crude rate of net migration,862,venezuela (bolivarian republic of),ve,16,1965,172
crude rate of net migration,862,venezuela (bolivarian republic of),ve,17,1966,0.11
crude rate of net migration,862,venezuela (bolivarian republic of),ve,18,1967,0.07
crude rate of net migration,862,venezuela (bolivarian republic of),ve,19,1968,51
crude rate of net migration,862,venezuela (bolivarian republic of),ve,20,1969,38
crude rate of net migration,862,venezuela (bolivarian republic of),ve,21,1970,27
crude rate of net migration,862,venezuela (bolivarian republic of),ve,22,1971,19
crude rate of net migration,862,venezuela (bolivarian republic of),ve,23,1972,15
crude rate of net migration,862,venezuela (bolivarian republic of),ve,24,1973,15
crude rate of net migration,862,venezuela (bolivarian republic of),ve,25,1974,14
crude rate of net migration,862,venezuela (bolivarian republic of),ve,26,1975,15
crude rate of net migration,862,venezuela (bolivarian republic of),ve,27,1976,15
crude rate of net migration,862,venezuela (bolivarian republic of),ve,28,1977,15
crude rate of net migration,862,venezuela (bolivarian republic of),ve,29,1978,15
crude rate of net migration,862,venezuela (bolivarian republic of),ve,30,1979,16
crude rate of net migration,862,venezuela (bolivarian republic of),ve,31,1980,16
crude rate of net migration,862,venezuela (bolivarian republic of),ve,32,1981,17
crude rate of net migration,862,venezuela (bolivarian republic of),ve,33,1982,17
crude rate of net migration,862,venezuela (bolivarian republic of),ve,34,1983,16
crude rate of net migration,862,venezuela (bolivarian republic of),ve,35,1984,15
crude rate of net migration,862,venezuela (bolivarian republic of),ve,36,1985,14
crude rate of net migration,862,venezuela (bolivarian republic of),ve,37,1986,12
crude rate of net migration,862,venezuela (bolivarian republic of),ve,38,1987,0.01
crude rate of net migration,862,venezuela (bolivarian republic of),ve,39,1988,8
crude rate of net migration,862,venezuela (bolivarian republic of),ve,40,1989,2
crude rate of net migration,862,venezuela (bolivarian republic of),ve,41,1990,-4
crude rate of net migration,862,venezuela (bolivarian republic of),ve,42,1991,-12
crude rate of net migration,862,venezuela (bolivarian republic of),ve,43,1992,-19
crude rate of net migration,862,venezuela (bolivarian republic of),ve,44,1993,-23
crude rate of net migration,862,venezuela (bolivarian republic of),ve,45,1994,-26
crude rate of net migration,862,venezuela (bolivarian republic of),ve,46,1995,-29
crude rate of net migration,862,venezuela (bolivarian republic of),ve,47,1996,-32
crude rate of net migration,862,venezuela (bolivarian republic of),ve,48,1997,-36
crude rate of net migration,862,venezuela (bolivarian republic of),ve,49,1998,-43
crude rate of net migration,862,venezuela (bolivarian republic of),ve,50,1999,-58
crude rate of net migration,862,venezuela (bolivarian republic of),ve,51,2000,-82
crude rate of net migration,862,venezuela (bolivarian republic of),ve,52,2001,-115
crude rate of net migration,862,venezuela (bolivarian republic of),ve,53,2002,-155
crude rate of net migration,862,venezuela (bolivarian republic of),ve,54,2003,-222
crude rate of net migration,862,venezuela (bolivarian republic of),ve,55,2004,-412
crude rate of net migration,862,venezuela (bolivarian republic of),ve,56,2005,-0.69
crude rate of net migration,862,venezuela (bolivarian republic of),ve,57,2006,-1005
crude rate of net migration,862,venezuela (bolivarian republic of),ve,58,2007,-1309
crude rate of net migration,862,venezuela (bolivarian republic of),ve,59,2008,-1561
crude rate of net migration,862,venezuela (bolivarian republic of),ve,60,2009,-1774
crude rate of net migration,862,venezuela (bolivarian republic of),ve,61,2010,-1837
crude rate of net migration,862,venezuela (bolivarian republic of),ve,62,2011,-1867
crude rate of net migration,862,venezuela (bolivarian republic of),ve,63,2012,-1869
crude rate of net migration,862,venezuela (bolivarian republic of),ve,64,2013,-1936
crude rate of net migration,862,venezuela (bolivarian republic of),ve,65,2014,-2066
crude rate of net migration,862,venezuela (bolivarian republic of),ve,66,2015,-2533
crude rate of net migration,862,venezuela (bolivarian republic of),ve,67,2016,-9174
crude rate of net migration,862,venezuela (bolivarian republic of),ve,68,2017,-26405
crude rate of net migration,862,venezuela (bolivarian republic of),ve,69,2018,-44487
crude rate of net migration,862,venezuela (bolivarian republic of),ve,70,2019,-33156
crude rate of net migration,862,venezuela (bolivarian republic of),ve,71,2020,-18268
crude rate of net migration,862,venezuela (bolivarian republic of),ve,72,2021,-18451
crude rate of net migration,862,venezuela (bolivarian republic of),ve,73,2022,10576
crude rate of net migration,862,venezuela (bolivarian republic of),ve,74,2023,11195
