indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,380,italy,it,1,1950,-0.61
crude rate of net migration,380,italy,it,2,1951,-2174
crude rate of net migration,380,italy,it,3,1952,-2595
crude rate of net migration,380,italy,it,4,1953,3777
crude rate of net migration,380,italy,it,5,1954,-2657
crude rate of net migration,380,italy,it,6,1955,-2.67
crude rate of net migration,380,italy,it,7,1956,-2597
crude rate of net migration,380,italy,it,8,1957,-2725
crude rate of net migration,380,italy,it,9,1958,-2843
crude rate of net migration,380,italy,it,10,1959,-2809
crude rate of net migration,380,italy,it,11,1960,-2936
crude rate of net migration,380,italy,it,12,1961,-2.68
crude rate of net migration,380,italy,it,13,1962,-687
crude rate of net migration,380,italy,it,14,1963,-652
crude rate of net migration,380,italy,it,15,1964,-559
crude rate of net migration,380,italy,it,16,1965,-727
crude rate of net migration,380,italy,it,17,1966,-792
crude rate of net migration,380,italy,it,18,1967,-775
crude rate of net migration,380,italy,it,19,1968,-1.13
crude rate of net migration,380,italy,it,20,1969,-897
crude rate of net migration,380,italy,it,21,1970,-1273
crude rate of net migration,380,italy,it,22,1971,-1082
crude rate of net migration,380,italy,it,23,1972,855
crude rate of net migration,380,italy,it,24,1973,876
crude rate of net migration,380,italy,it,25,1974,857
crude rate of net migration,380,italy,it,26,1975,853
crude rate of net migration,380,italy,it,27,1976,977
crude rate of net migration,380,italy,it,28,1977,958
crude rate of net migration,380,italy,it,29,1978,0.88
crude rate of net migration,380,italy,it,30,1979,863
crude rate of net migration,380,italy,it,31,1980,4648
crude rate of net migration,380,italy,it,32,1981,-174
crude rate of net migration,380,italy,it,33,1982,-763
crude rate of net migration,380,italy,it,34,1983,-637
crude rate of net migration,380,italy,it,35,1984,-553
crude rate of net migration,380,italy,it,36,1985,-352
crude rate of net migration,380,italy,it,37,1986,-0.29
crude rate of net migration,380,italy,it,38,1987,-92
crude rate of net migration,380,italy,it,39,1988,0.14
crude rate of net migration,380,italy,it,40,1989,235
crude rate of net migration,380,italy,it,41,1990,375
crude rate of net migration,380,italy,it,42,1991,367
crude rate of net migration,380,italy,it,43,1992,483
crude rate of net migration,380,italy,it,44,1993,486
crude rate of net migration,380,italy,it,45,1994,435
crude rate of net migration,380,italy,it,46,1995,507
crude rate of net migration,380,italy,it,47,1996,959
crude rate of net migration,380,italy,it,48,1997,897
crude rate of net migration,380,italy,it,49,1998,741
crude rate of net migration,380,italy,it,50,1999,702
crude rate of net migration,380,italy,it,51,2000,863
crude rate of net migration,380,italy,it,52,2001,826
crude rate of net migration,380,italy,it,53,2002,3904
crude rate of net migration,380,italy,it,54,2003,8363
crude rate of net migration,380,italy,it,55,2004,7236
crude rate of net migration,380,italy,it,56,2005,4321
crude rate of net migration,380,italy,it,57,2006,3607
crude rate of net migration,380,italy,it,58,2007,8.3
crude rate of net migration,380,italy,it,59,2008,7003
crude rate of net migration,380,italy,it,60,2009,4714
crude rate of net migration,380,italy,it,61,2010,4524
crude rate of net migration,380,italy,it,62,2011,3258
crude rate of net migration,380,italy,it,63,2012,4146
crude rate of net migration,380,italy,it,64,2013,2563
crude rate of net migration,380,italy,it,65,2014,831
crude rate of net migration,380,italy,it,66,2015,565
crude rate of net migration,380,italy,it,67,2016,825
crude rate of net migration,380,italy,it,68,2017,1175
crude rate of net migration,380,italy,it,69,2018,1268
crude rate of net migration,380,italy,it,70,2019,362
crude rate of net migration,380,italy,it,71,2020,471
crude rate of net migration,380,italy,it,72,2021,473
crude rate of net migration,380,italy,it,73,2022,991
crude rate of net migration,380,italy,it,74,2023,994
