indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,554,new zealand,nz,1,1950,3.57
crude rate of net migration,554,new zealand,nz,2,1951,6228
crude rate of net migration,554,new zealand,nz,3,1952,9154
crude rate of net migration,554,new zealand,nz,4,1953,8072
crude rate of net migration,554,new zealand,nz,5,1954,4981
crude rate of net migration,554,new zealand,nz,6,1955,3805
crude rate of net migration,554,new zealand,nz,7,1956,4401
crude rate of net migration,554,new zealand,nz,8,1957,6445
crude rate of net migration,554,new zealand,nz,9,1958,5122
crude rate of net migration,554,new zealand,nz,10,1959,2307
crude rate of net migration,554,new zealand,nz,11,1960,1837
crude rate of net migration,554,new zealand,nz,12,1961,4551
crude rate of net migration,554,new zealand,nz,13,1962,5061
crude rate of net migration,554,new zealand,nz,14,1963,4128
crude rate of net migration,554,new zealand,nz,15,1964,3744
crude rate of net migration,554,new zealand,nz,16,1965,3564
crude rate of net migration,554,new zealand,nz,17,1966,3543
crude rate of net migration,554,new zealand,nz,18,1967,-0.74
crude rate of net migration,554,new zealand,nz,19,1968,-4165
crude rate of net migration,554,new zealand,nz,20,1969,-1827
crude rate of net migration,554,new zealand,nz,21,1970,1627
crude rate of net migration,554,new zealand,nz,22,1971,2662
crude rate of net migration,554,new zealand,nz,23,1972,6193
crude rate of net migration,554,new zealand,nz,24,1973,9462
crude rate of net migration,554,new zealand,nz,25,1974,9095
crude rate of net migration,554,new zealand,nz,26,1975,4164
crude rate of net migration,554,new zealand,nz,27,1976,-2935
crude rate of net migration,554,new zealand,nz,28,1977,-7119
crude rate of net migration,554,new zealand,nz,29,1978,-9054
crude rate of net migration,554,new zealand,nz,30,1979,-8508
crude rate of net migration,554,new zealand,nz,31,1980,-4823
crude rate of net migration,554,new zealand,nz,32,1981,-2423
crude rate of net migration,554,new zealand,nz,33,1982,2461
crude rate of net migration,554,new zealand,nz,34,1983,3592
crude rate of net migration,554,new zealand,nz,35,1984,-296
crude rate of net migration,554,new zealand,nz,36,1985,-4175
crude rate of net migration,554,new zealand,nz,37,1986,-3128
crude rate of net migration,554,new zealand,nz,38,1987,-2371
crude rate of net migration,554,new zealand,nz,39,1988,-5048
crude rate of net migration,554,new zealand,nz,40,1989,-2719
crude rate of net migration,554,new zealand,nz,41,1990,21261
crude rate of net migration,554,new zealand,nz,42,1991,8822
crude rate of net migration,554,new zealand,nz,43,1992,1852
crude rate of net migration,554,new zealand,nz,44,1993,3458
crude rate of net migration,554,new zealand,nz,45,1994,5615
crude rate of net migration,554,new zealand,nz,46,1995,7139
crude rate of net migration,554,new zealand,nz,47,1996,6721
crude rate of net migration,554,new zealand,nz,48,1997,3.12
crude rate of net migration,554,new zealand,nz,49,1998,-463
crude rate of net migration,554,new zealand,nz,50,1999,-2343
crude rate of net migration,554,new zealand,nz,51,2000,-1576
crude rate of net migration,554,new zealand,nz,52,2001,4417
crude rate of net migration,554,new zealand,nz,53,2002,12154
crude rate of net migration,554,new zealand,nz,54,2003,10549
crude rate of net migration,554,new zealand,nz,55,2004,6016
crude rate of net migration,554,new zealand,nz,56,2005,4644
crude rate of net migration,554,new zealand,nz,57,2006,3.48
crude rate of net migration,554,new zealand,nz,58,2007,705
crude rate of net migration,554,new zealand,nz,59,2008,1099
crude rate of net migration,554,new zealand,nz,60,2009,2887
crude rate of net migration,554,new zealand,nz,61,2010,1441
crude rate of net migration,554,new zealand,nz,62,2011,-549
crude rate of net migration,554,new zealand,nz,63,2012,-349
crude rate of net migration,554,new zealand,nz,64,2013,5.08
crude rate of net migration,554,new zealand,nz,65,2014,10812
crude rate of net migration,554,new zealand,nz,66,2015,10326
crude rate of net migration,554,new zealand,nz,67,2016,10772
crude rate of net migration,554,new zealand,nz,68,2017,10337
crude rate of net migration,554,new zealand,nz,69,2018,16764
crude rate of net migration,554,new zealand,nz,70,2019,21063
crude rate of net migration,554,new zealand,nz,71,2020,7579
crude rate of net migration,554,new zealand,nz,72,2021,7479
crude rate of net migration,554,new zealand,nz,73,2022,2.51
crude rate of net migration,554,new zealand,nz,74,2023,2.49
