indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,554,new zealand,nz,1,1950,6813
total net number of migrants,554,new zealand,nz,2,1951,12121
total net number of migrants,554,new zealand,nz,3,1952,18218
total net number of migrants,554,new zealand,nz,4,1953,16472
total net number of migrants,554,new zealand,nz,5,1954,10417
total net number of migrants,554,new zealand,nz,6,1955,8132
total net number of migrants,554,new zealand,nz,7,1956,9602
total net number of migrants,554,new zealand,nz,8,1957,14362
total net number of migrants,554,new zealand,nz,9,1958,11685
total net number of migrants,554,new zealand,nz,10,1959,5382
total net number of migrants,554,new zealand,nz,11,1960,4371
total net number of migrants,554,new zealand,nz,12,1961,11045
total net number of migrants,554,new zealand,nz,13,1962,12553
total net number of migrants,554,new zealand,nz,14,1963,10462
total net number of migrants,554,new zealand,nz,15,1964,9679
total net number of migrants,554,new zealand,nz,16,1965,9382
total net number of migrants,554,new zealand,nz,17,1966,9493
total net number of migrants,554,new zealand,nz,18,1967,-2018
total net number of migrants,554,new zealand,nz,19,1968,-11506
total net number of migrants,554,new zealand,nz,20,1969,-5097
total net number of migrants,554,new zealand,nz,21,1970,4590
total net number of migrants,554,new zealand,nz,22,1971,7629
total net number of migrants,554,new zealand,nz,23,1972,18032
total net number of migrants,554,new zealand,nz,24,1973,28061
total net number of migrants,554,new zealand,nz,25,1974,27542
total net number of migrants,554,new zealand,nz,26,1975,12858
total net number of migrants,554,new zealand,nz,27,1976,-9194
total net number of migrants,554,new zealand,nz,28,1977,-22440
total net number of migrants,554,new zealand,nz,29,1978,-28581
total net number of migrants,554,new zealand,nz,30,1979,-26852
total net number of migrants,554,new zealand,nz,31,1980,-15213
total net number of migrants,554,new zealand,nz,32,1981,-7668
total net number of migrants,554,new zealand,nz,33,1982,7831
total net number of migrants,554,new zealand,nz,34,1983,11546
total net number of migrants,554,new zealand,nz,35,1984,-963
total net number of migrants,554,new zealand,nz,36,1985,-13674
total net number of migrants,554,new zealand,nz,37,1986,-10282
total net number of migrants,554,new zealand,nz,38,1987,-7835
total net number of migrants,554,new zealand,nz,39,1988,-16784
total net number of migrants,554,new zealand,nz,40,1989,-9077
total net number of migrants,554,new zealand,nz,41,1990,71491
total net number of migrants,554,new zealand,nz,42,1991,30577
total net number of migrants,554,new zealand,nz,43,1992,6535
total net number of migrants,554,new zealand,nz,44,1993,12337
total net number of migrants,554,new zealand,nz,45,1994,20272
total net number of migrants,554,new zealand,nz,46,1995,26133
total net number of migrants,554,new zealand,nz,47,1996,24974
total net number of migrants,554,new zealand,nz,48,1997,11761
total net number of migrants,554,new zealand,nz,49,1998,-1765
total net number of migrants,554,new zealand,nz,50,1999,-8993
total net number of migrants,554,new zealand,nz,51,2000,-6080
total net number of migrants,554,new zealand,nz,52,2001,17140
total net number of migrants,554,new zealand,nz,53,2002,47693
total net number of migrants,554,new zealand,nz,54,2003,42181
total net number of migrants,554,new zealand,nz,55,2004,24480
total net number of migrants,554,new zealand,nz,56,2005,19148
total net number of migrants,554,new zealand,nz,57,2006,14521
total net number of migrants,554,new zealand,nz,58,2007,2976
total net number of migrants,554,new zealand,nz,59,2008,4679
total net number of migrants,554,new zealand,nz,60,2009,12403
total net number of migrants,554,new zealand,nz,61,2010,6258
total net number of migrants,554,new zealand,nz,62,2011,-2405
total net number of migrants,554,new zealand,nz,63,2012,-1539
total net number of migrants,554,new zealand,nz,64,2013,22547
total net number of migrants,554,new zealand,nz,65,2014,48532
total net number of migrants,554,new zealand,nz,66,2015,47165
total net number of migrants,554,new zealand,nz,67,2016,50012
total net number of migrants,554,new zealand,nz,68,2017,48815
total net number of migrants,554,new zealand,nz,69,2018,80419
total net number of migrants,554,new zealand,nz,70,2019,103392
total net number of migrants,554,new zealand,nz,71,2020,38220
total net number of migrants,554,new zealand,nz,72,2021,38220
total net number of migrants,554,new zealand,nz,73,2022,12999
total net number of migrants,554,new zealand,nz,74,2023,12999
