indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,682,saudi arabia,sa,1,1950,1.59
crude rate of net migration,682,saudi arabia,sa,2,1951,1472
crude rate of net migration,682,saudi arabia,sa,3,1952,1133
crude rate of net migration,682,saudi arabia,sa,4,1953,534
crude rate of net migration,682,saudi arabia,sa,5,1954,637
crude rate of net migration,682,saudi arabia,sa,6,1955,589
crude rate of net migration,682,saudi arabia,sa,7,1956,555
crude rate of net migration,682,saudi arabia,sa,8,1957,449
crude rate of net migration,682,saudi arabia,sa,9,1958,-275
crude rate of net migration,682,saudi arabia,sa,10,1959,732
crude rate of net migration,682,saudi arabia,sa,11,1960,1828
crude rate of net migration,682,saudi arabia,sa,12,1961,3486
crude rate of net migration,682,saudi arabia,sa,13,1962,4439
crude rate of net migration,682,saudi arabia,sa,14,1963,5041
crude rate of net migration,682,saudi arabia,sa,15,1964,5426
crude rate of net migration,682,saudi arabia,sa,16,1965,5.83
crude rate of net migration,682,saudi arabia,sa,17,1966,6114
crude rate of net migration,682,saudi arabia,sa,18,1967,7125
crude rate of net migration,682,saudi arabia,sa,19,1968,7908
crude rate of net migration,682,saudi arabia,sa,20,1969,8885
crude rate of net migration,682,saudi arabia,sa,21,1970,10531
crude rate of net migration,682,saudi arabia,sa,22,1971,13357
crude rate of net migration,682,saudi arabia,sa,23,1972,16.53
crude rate of net migration,682,saudi arabia,sa,24,1973,18248
crude rate of net migration,682,saudi arabia,sa,25,1974,18662
crude rate of net migration,682,saudi arabia,sa,26,1975,16944
crude rate of net migration,682,saudi arabia,sa,27,1976,15353
crude rate of net migration,682,saudi arabia,sa,28,1977,15886
crude rate of net migration,682,saudi arabia,sa,29,1978,15424
crude rate of net migration,682,saudi arabia,sa,30,1979,14891
crude rate of net migration,682,saudi arabia,sa,31,1980,14655
crude rate of net migration,682,saudi arabia,sa,32,1981,13727
crude rate of net migration,682,saudi arabia,sa,33,1982,13503
crude rate of net migration,682,saudi arabia,sa,34,1983,13656
crude rate of net migration,682,saudi arabia,sa,35,1984,13105
crude rate of net migration,682,saudi arabia,sa,36,1985,12796
crude rate of net migration,682,saudi arabia,sa,37,1986,12146
crude rate of net migration,682,saudi arabia,sa,38,1987,12156
crude rate of net migration,682,saudi arabia,sa,39,1988,12179
crude rate of net migration,682,saudi arabia,sa,40,1989,11951
crude rate of net migration,682,saudi arabia,sa,41,1990,11748
crude rate of net migration,682,saudi arabia,sa,42,1991,9958
crude rate of net migration,682,saudi arabia,sa,43,1992,7566
crude rate of net migration,682,saudi arabia,sa,44,1993,1756
crude rate of net migration,682,saudi arabia,sa,45,1994,1926
crude rate of net migration,682,saudi arabia,sa,46,1995,1436
crude rate of net migration,682,saudi arabia,sa,47,1996,1535
crude rate of net migration,682,saudi arabia,sa,48,1997,1595
crude rate of net migration,682,saudi arabia,sa,49,1998,1455
crude rate of net migration,682,saudi arabia,sa,50,1999,1162
crude rate of net migration,682,saudi arabia,sa,51,2000,0.8
crude rate of net migration,682,saudi arabia,sa,52,2001,888
crude rate of net migration,682,saudi arabia,sa,53,2002,1.01
crude rate of net migration,682,saudi arabia,sa,54,2003,747
crude rate of net migration,682,saudi arabia,sa,55,2004,427
crude rate of net migration,682,saudi arabia,sa,56,2005,19928
crude rate of net migration,682,saudi arabia,sa,57,2006,19518
crude rate of net migration,682,saudi arabia,sa,58,2007,18949
crude rate of net migration,682,saudi arabia,sa,59,2008,18207
crude rate of net migration,682,saudi arabia,sa,60,2009,17499
crude rate of net migration,682,saudi arabia,sa,61,2010,8088
crude rate of net migration,682,saudi arabia,sa,62,2011,3125
crude rate of net migration,682,saudi arabia,sa,63,2012,2888
crude rate of net migration,682,saudi arabia,sa,64,2013,2472
crude rate of net migration,682,saudi arabia,sa,65,2014,2042
crude rate of net migration,682,saudi arabia,sa,66,2015,1844
crude rate of net migration,682,saudi arabia,sa,67,2016,5144
crude rate of net migration,682,saudi arabia,sa,68,2017,8308
crude rate of net migration,682,saudi arabia,sa,69,2018,7257
crude rate of net migration,682,saudi arabia,sa,70,2019,6754
crude rate of net migration,682,saudi arabia,sa,71,2020,-28081
crude rate of net migration,682,saudi arabia,sa,72,2021,-4272
crude rate of net migration,682,saudi arabia,sa,73,2022,797
crude rate of net migration,682,saudi arabia,sa,74,2023,785
