indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,724,spain,es,1,1950,-5.13
crude rate of net migration,724,spain,es,2,1951,-2617
crude rate of net migration,724,spain,es,3,1952,-3031
crude rate of net migration,724,spain,es,4,1953,-2886
crude rate of net migration,724,spain,es,5,1954,-3014
crude rate of net migration,724,spain,es,6,1955,-3044
crude rate of net migration,724,spain,es,7,1956,-3059
crude rate of net migration,724,spain,es,8,1957,-3075
crude rate of net migration,724,spain,es,9,1958,-3336
crude rate of net migration,724,spain,es,10,1959,-3208
crude rate of net migration,724,spain,es,11,1960,-4926
crude rate of net migration,724,spain,es,12,1961,-1085
crude rate of net migration,724,spain,es,13,1962,-1355
crude rate of net migration,724,spain,es,14,1963,-1155
crude rate of net migration,724,spain,es,15,1964,-1063
crude rate of net migration,724,spain,es,16,1965,-1128
crude rate of net migration,724,spain,es,17,1966,-1
crude rate of net migration,724,spain,es,18,1967,-841
crude rate of net migration,724,spain,es,19,1968,-1214
crude rate of net migration,724,spain,es,20,1969,-1025
crude rate of net migration,724,spain,es,21,1970,-1576
crude rate of net migration,724,spain,es,22,1971,427
crude rate of net migration,724,spain,es,23,1972,218
crude rate of net migration,724,spain,es,24,1973,283
crude rate of net migration,724,spain,es,25,1974,2.98
crude rate of net migration,724,spain,es,26,1975,33
crude rate of net migration,724,spain,es,27,1976,134
crude rate of net migration,724,spain,es,28,1977,5
crude rate of net migration,724,spain,es,29,1978,-51
crude rate of net migration,724,spain,es,30,1979,-165
crude rate of net migration,724,spain,es,31,1980,403
crude rate of net migration,724,spain,es,32,1981,-0.16
crude rate of net migration,724,spain,es,33,1982,-433
crude rate of net migration,724,spain,es,34,1983,-0.56
crude rate of net migration,724,spain,es,35,1984,-472
crude rate of net migration,724,spain,es,36,1985,-451
crude rate of net migration,724,spain,es,37,1986,-504
crude rate of net migration,724,spain,es,38,1987,-582
crude rate of net migration,724,spain,es,39,1988,-0.62
crude rate of net migration,724,spain,es,40,1989,-812
crude rate of net migration,724,spain,es,41,1990,-982
crude rate of net migration,724,spain,es,42,1991,3181
crude rate of net migration,724,spain,es,43,1992,4.15
crude rate of net migration,724,spain,es,44,1993,4134
crude rate of net migration,724,spain,es,45,1994,4101
crude rate of net migration,724,spain,es,46,1995,4141
crude rate of net migration,724,spain,es,47,1996,4115
crude rate of net migration,724,spain,es,48,1997,4153
crude rate of net migration,724,spain,es,49,1998,4183
crude rate of net migration,724,spain,es,50,1999,4219
crude rate of net migration,724,spain,es,51,2000,4309
crude rate of net migration,724,spain,es,52,2001,4.54
crude rate of net migration,724,spain,es,53,2002,18035
crude rate of net migration,724,spain,es,54,2003,15818
crude rate of net migration,724,spain,es,55,2004,15508
crude rate of net migration,724,spain,es,56,2005,14595
crude rate of net migration,724,spain,es,57,2006,14938
crude rate of net migration,724,spain,es,58,2007,17265
crude rate of net migration,724,spain,es,59,2008,9414
crude rate of net migration,724,spain,es,60,2009,2821
crude rate of net migration,724,spain,es,61,2010,1349
crude rate of net migration,724,spain,es,62,2011,1224
crude rate of net migration,724,spain,es,63,2012,-3089
crude rate of net migration,724,spain,es,64,2013,-5443
crude rate of net migration,724,spain,es,65,2014,-2.04
crude rate of net migration,724,spain,es,66,2015,-19
crude rate of net migration,724,spain,es,67,2016,1918
crude rate of net migration,724,spain,es,68,2017,3602
crude rate of net migration,724,spain,es,69,2018,7274
crude rate of net migration,724,spain,es,70,2019,9786
crude rate of net migration,724,spain,es,71,2020,4418
crude rate of net migration,724,spain,es,72,2021,5808
crude rate of net migration,724,spain,es,73,2022,841
crude rate of net migration,724,spain,es,74,2023,842
